id,AR_usage,Country,Order_size,Payment_method,New_customers,Old_customers_tenure,Product_return,Channel,Order_day,Order_hour
215,0,NL,0.640115178,ideal,0,-0.095303349,0,Paid Search Non-Branded,4,21
216,1,NL,1.130787865,ideal,0,-0.610982467,1,Direct Access,4,21
217,1,NL,1.996680843,ideal,1,-0.693841827,1,Paid Search Branded,4,21
218,1,NL,1.246240262,ideal,1,-0.693841827,1,Display,4,21
219,0,NL,-0.918492183,ideal,1,-0.693841827,0,Paid Search Branded,4,21
220,0,NL,-0.600998091,ideal,0,-0.575418389,0,Member-get-member,4,21
221,1,NL,0.264894887,ideal,1,-0.693841827,0,Organic Search,4,21
222,1,NL,0.697841376,ideal,0,-0.145685791,0,Paid Search Branded,4,21
223,0,NL,-0.889917714,ideal,0,2.035577605,1,Paid Search Branded,4,21
224,0,NL,-0.341230197,ideal,1,-0.693841827,0,Paid Search Non-Branded,4,21
225,1,NL,-1.106102328,ideal,0,2.82687832,0,Paid Search Branded,4,22
226,0,NL,-1.4671797,ideal,0,0.254410076,0,Paid Search Branded,4,22
227,0,NL,-0.139477133,ideal,0,0.45890352,0,Paid Search Branded,4,22
228,1,NL,-1.03394458,ideal,1,-0.693841827,0,Paid Search Branded,4,22
229,0,NL,0.10585921,visa,0,-0.222741291,1,Organic Search,4,22
230,1,NL,2.978026218,ideal,0,-0.468726158,0,Organic Search,4,22
231,1,NL,2.602517297,ideal,0,0.2959015,1,Organic Search,4,22
232,0,NL,0.120002129,ideal,1,-0.693841827,1,Paid Search Branded,4,22
233,1,NL,-0.658724289,ideal,0,1.285768312,1,Paid Search Non-Branded,4,22
234,0,NL,2.86228519,ideal,0,-0.581345736,0,Paid Search Branded,4,22
235,0,NL,0.409210384,ideal,1,-0.693841827,0,Paid Search Branded,4,22
236,0,NL,0.409210384,ideal,1,-0.693841827,0,Paid Social,4,22
237,0,NL,-0.601286722,ideal,1,-0.693841827,0,Paid Search Branded,4,22
238,0,NL,-0.075978315,ideal,1,-0.693841827,1,Direct Access,4,22
239,0,BE,-0.312367098,visa,1,-0.693841827,0,Paid Search Non-Branded,4,22
240,0,NL,-1.142181202,ideal,1,-0.693841827,0,Paid Search Branded,4,22
241,0,NL,-0.600998091,ideal,1,-0.693841827,0,Paid Search Branded,4,23
242,0,NL,-0.774465317,ideal,1,-0.693841827,0,Organic Search,4,23
243,0,NL,-0.067030754,ideal,0,1.997049854,1,Affiliate,4,23
244,0,NL,0.49551105,ideal,0,2.068178009,0,Paid Search Non-Branded,4,23
245,0,NL,0.033701462,visa,0,1.768847026,0,Direct Access,4,23
246,1,NL,-1.4671797,ideal,0,1.404315236,0,Paid Search Branded,4,23
247,0,NL,-0.168051602,ideal,0,0.94790958,0,Direct Access,4,0
248,0,NL,-1.4671797,ideal,0,-0.60505512,0,Organic Search,5,1
249,0,NL,0.264606256,ideal,1,-0.693841827,0,Paid Search Branded,5,2
250,0,NL,1.852076716,ideal,0,-0.462798812,0,Paid Search Branded,5,2
251,0,NL,-0.485545694,ideal,0,0.239591711,0,Campaigning,5,3
252,1,NL,-0.572423622,ideal,0,-0.261269042,1,Paid Search Branded,5,4
253,0,NL,-0.456682594,ideal,0,-0.61394614,0,Paid Social,5,5
254,0,NL,0.264894887,ideal,1,-0.693841827,0,Organic Search,5,7
255,1,NL,-0.341518828,ideal,0,-0.465762485,0,Direct Access,5,7
256,0,NL,1.661580261,ideal,1,-0.693841827,0,Direct Access,5,8
257,1,NL,-0.630149821,ideal,0,-0.222741291,0,Direct Access,5,8
258,0,NL,1.130787865,visa,0,2.014831893,1,Organic Search,5,8
259,1,NL,0.380058653,ideal,1,-0.693841827,1,Organic Search,5,9
260,0,NL,0.120579391,ideal,0,1.392460544,0,Paid Search Branded,5,9
261,0,NL,-0.197203332,ideal,0,-0.237559657,1,Paid Search Branded,5,9
262,0,NL,-0.024024736,ideal,1,-0.693841827,0,Paid Search Branded,5,9
263,0,NL,-0.409347112,ideal,0,0.924200195,0,Paid Search Branded,5,9
264,1,NL,-0.485545694,ideal,0,-0.504290235,0,Paid Search Branded,5,9
265,1,NL,-0.312367098,ideal,1,-0.693841827,0,Paid Search Branded,5,9
266,1,NL,-0.081462304,ideal,1,-0.693841827,0,Paid Search Non-Branded,5,10
267,0,NL,0.091716292,ideal,1,-0.693841827,0,Direct Access,5,10
268,1,NL,-0.658724289,ideal,1,-0.693841827,0,Organic Search,5,10
269,0,NL,-0.341230197,ideal,0,-0.302760465,0,Organic Search,5,10
270,1,NL,-0.226355062,ideal,1,-0.693841827,0,Paid Search Non-Branded,5,10
271,0,NL,0.235454526,ideal,0,-0.516144928,0,Direct Access,5,10
272,0,NL,-0.399245027,ideal,0,-0.370924946,0,Paid Search Branded,5,10
273,0,NL,0.120579391,ideal,1,-0.693841827,0,Direct Access,5,10
274,0,NL,0.380058653,ideal,0,0.029170921,0,Organic Search,5,10
275,0,NL,0.437784852,ideal,0,0.521140655,0,Direct Access,5,10
276,0,NL,-0.485545694,ideal,1,-0.693841827,0,Paid Search Branded,5,10
277,0,NL,-1.03394458,ideal,0,1.519898487,0,Paid Search Branded,5,11
278,0,NL,0.091427661,ideal,0,0.693033694,1,Organic Search,5,11
279,1,NL,-0.924553433,ideal,1,-0.693841827,0,Paid Search Branded,5,11
280,0,NL,0.784142043,ideal,0,1.469516044,0,Paid Search Branded,5,11
281,1,NL,0.149153859,ideal,1,-0.693841827,0,Paid Search Branded,5,11
282,1,NL,-0.168051602,ideal,1,-0.693841827,1,Organic Search,5,11
283,0,NL,-0.774465317,ideal,1,-0.693841827,0,Paid Search Branded,5,11
284,0,NL,-1.005370111,ideal,0,0.147717845,1,Paid Search Branded,5,11
285,0,NL,0.149153859,ideal,1,-0.693841827,0,Paid Search Branded,5,11
286,0,NL,-0.168051602,ideal,0,1.039783446,0,Direct Access,5,11
287,1,NL,-0.312367098,ideal,1,-0.693841827,0,Paid Search Branded,5,11
288,0,NL,-0.326798648,visa,1,-0.693841827,1,Affiliate,5,11
289,0,NL,0.697841376,ideal,0,1.816265796,1,Direct Access,5,12
290,0,NL,-0.774465317,ideal,0,1.022001407,0,Direct Access,5,12
291,1,NL,-0.514697424,ideal,0,-0.385743312,0,Paid Search Branded,5,12
292,0,NL,-1.03394458,ideal,1,-0.693841827,0,Direct Access,5,12
293,0,NL,-0.341230197,ideal,1,-0.693841827,0,Direct Access,5,12
294,0,NL,0.378038236,ideal,0,2.361581645,0,Affiliate,5,12
295,0,NL,-0.196914701,ideal,1,-0.693841827,0,Organic Search,5,12
296,1,NL,1.505719525,ideal,1,-0.693841827,0,Organic Search,5,12
297,1,NL,-0.456682594,ideal,1,-0.693841827,1,Organic Search,5,12
298,0,NL,-1.322575572,ideal,1,-0.693841827,0,Paid Search Non-Branded,5,12
299,0,NL,-1.322864203,ideal,1,-0.693841827,0,Paid Search Branded,5,12
300,1,NL,2.86228519,ideal,0,0.666360636,1,Affiliate,5,12
301,0,NL,-0.861054615,ideal,0,0.058807652,0,Organic Search,5,13
302,1,NL,-1.005370111,ideal,1,-0.693841827,0,Paid Search Branded,5,13
303,1,NL,-0.658724289,ideal,0,-0.445016773,0,Paid Search Branded,5,13
304,0,NL,-0.28379263,ideal,0,-0.041957233,0,Direct Access,5,13
305,0,NL,-1.4671797,ideal,0,1.955558431,0,Paid Search Branded,5,13
306,1,NL,-0.312655729,ideal,1,-0.693841827,0,Organic Search,5,13
307,1,NL,-0.2257778,ideal,0,1.52286216,0,Paid Search Branded,5,13
308,1,NL,-0.889917714,ideal,0,0.802689598,0,Organic Search,5,13
309,0,NL,-0.023736105,visa,0,0.470758212,0,Paid Search Branded,5,13
310,1,NL,-0.196914701,ideal,0,2.248962067,0,Paid Search Branded,5,13
311,1,NL,0.553237249,ideal,1,-0.693841827,1,Paid Search Branded,5,13
312,1,NL,0.091716292,ideal,0,-0.359070254,0,Organic Search,5,13
